"","No_of_Accidents","ev_year","acft_make","acft_model"
"5038",1,1989,"LEARJET","25"
"5039",1,1989,"LEE,DAVID","VELOCITY"
"5040",1,1989,"LEHMAN/JERRELL","VANS"
"5041",1,1989,"LOCKHEED","L1011"
"5042",1,1989,"LONGE-Z-E","LONG"
"5043",1,1989,"LOWE","QUICKIE"
"5044",8,1989,"LUSCOMBE","8A"
"5045",1,1989,"LUSCOMBE","8C"
"5046",1,1989,"LUSCOMBE","8F"
"5047",1,1989,"MANNON-UNDERWOOD","JEANIE'S"
"5048",1,1989,"MARTIN","SORRELL"
"5049",1,1989,"MASON","AJM"
"5050",11,1989,"MAULE","M"
"5051",1,1989,"MAULE","M4"
"5052",1,1989,"MAULE","M5"
"5053",3,1989,"MAULE","MX"
"5054",1,1989,"MAXAIR","XP"
"5055",1,1989,"MBB","ME"
"5056",1,1989,"MCCOMB","RV"
"5057",1,1989,"MCCOY","BD"
"5058",1,1989,"MCCOY","SUPER"
"5059",5,1989,"MCDONNELLDOUGLAS","DC"
"5060",1,1989,"MCDONNELLDOUGLAS","DC8"
"5061",2,1989,"MCDONNELLDOUGLAS","MD"
"5062",1,1989,"MILLER","S.A.L."
"5063",1,1989,"MILLER","SPECIAL"
"5064",1,1989,"MINICAB","HAWK"
"5065",1,1989,"MIRSEPASY","3Q2"
"5066",4,1989,"MITSUBISHI","MU"
"5067",1,1989,"MOONEY","201"
"5068",1,1989,"MOONEY","M"
"5069",3,1989,"MOONEY","M20"
"5070",4,1989,"MOONEY","M20C"
"5071",6,1989,"MOONEY","M20E"
"5072",7,1989,"MOONEY","M20F"
"5073",5,1989,"MOONEY","M20J"
"5074",2,1989,"MOONEY","M20K"
"5075",1,1989,"MOONEY","M22"
"5076",2,1989,"MORRISEY","2150A"
"5077",1,1989,"MORSE","F85P"
"5078",1,1989,"MURPHY","VARI"
"5079",1,1989,"MUSICK/TERRATORN","TIERRA"
"5080",2,1989,"NAVALAIRCRAFTFACTORY","N3N"
"5081",1,1989,"NAVION","A"
"5082",1,1989,"NELSEN-DAVID","SONERAI"
"5083",1,1989,"NIEDZIELSKI","COOT"
"5084",1,1989,"NIHON","YS"
"5085",1,1989,"NORD(SNCAN)","STAMPE"
"5086",3,1989,"NORTHAMERICAN","AT"
"5087",2,1989,"NORTHAMERICAN","F"
"5088",1,1989,"NORTHAMERICAN","NAVION"
"5089",2,1989,"NORTHAMERICAN","P"
"5090",1,1989,"NORTHAMERICAN","P51D"
"5091",3,1989,"NORTHAMERICAN","SNJ"
"5092",3,1989,"NORTHAMERICAN","T"
"5093",1,1989,"OLSON","BD"
"5094",1,1989,"PAZMANY","PL"
"5095",1,1989,"PIERCE","MP"
"5096",1,1989,"PIETENPOL","AIR"
"5097",2,1989,"PIPER","601P"
"5098",2,1989,"PIPER","AEROSTAR"
"5099",1,1989,"PIPER","E"
"5100",6,1989,"PIPER","J"
"5101",1,1989,"PIPER","J3"
"5102",4,1989,"PIPER","J3C"
"5103",461,1989,"PIPER","PA"
"5104",1,1989,"PIPER","PA22"
"5105",6,1989,"PIPER","PA28"
"5106",1,1989,"PIPER","PA28R"
"5107",2,1989,"PIPER","PA38"
"5108",2,1989,"PITTS","S"
"5109",1,1989,"PITTS","S1A"
"5110",2,1989,"PITTS","S2B"
"5111",1,1989,"POEHLS","BOBCAT"
"5112",1,1989,"POND","MIDGET"
"5113",1,1989,"PORTERFIELD","CP"
"5114",1,1989,"PROGRESSAEROR&D","DISCOVERY"
"5115",1,1989,"PROSPECTOR","FK"
"5116",1,1989,"PZL-MIELEC","M"
"5117",1,1989,"RANDENGINEERING","KR"
"5118",1,1989,"RAYNE","VARI"
"5119",1,1989,"RENNINGER","MUSTANG"
"5120",1,1989,"ROCKWELL","112B"
"5121",1,1989,"ROCKWELL","114"
"5122",4,1989,"ROCKWELL","S"
"5123",2,1989,"ROCKWELL","S2R"
"5124",1,1989,"ROCKWELL","THRUSH"
"5125",1,1989,"RODGERS","BABY"
"5126",1,1989,"ROGERNELSON","AERONICA/T"
"5127",1,1989,"ROTEC","PANTHER"
"5128",1,1989,"RUPPERCHT","VARIEZE"
"5129",1,1989,"RUSCHKE","STARDUSTER"
"5130",1,1989,"RYAN","PT"
"5131",1,1989,"RYAN","SCW"
"5132",2,1989,"RYAN","ST"
"5133",1,1989,"RYAN","ST3KR"
"5134",1,1989,"SAINTLOUIS","YPT"
"5135",1,1989,"SALMON","KR"
"5136",1,1989,"SCHMAHL","VOLKSPLANE"
"5137",1,1989,"SCHUNING/TERATORN","TERRA"
"5138",14,1989,"SCHWEIZER","G"
"5139",1,1989,"SENIORAEROSPORT/PAET","PJ"
"5140",1,1989,"SHARP","FOX"
"5141",1,1989,"SILVAIRE","8F"
"5142",1,1989,"SKELTON","EMERAUDE"
"5143",1,1989,"SKILLING","VARI"
"5144",1,1989,"SMEESTERS","RV"
"5145",1,1989,"SMITH","KITFOX"
"5146",1,1989,"SMITH","MINI"
"5147",1,1989,"SMITH,TEDAEROSTAR","601"
"5148",2,1989,"SMITH,TEDAEROSTAR","AEROSTAR"
"5149",1,1989,"SMITHGALLPITTSSPECIAL","S"
"5150",1,1989,"SOURS/MIDGETMUSTANG","SM"
"5151",1,1989,"STEARNS","BD"
"5152",1,1989,"STEEN","SKYBOLT"
"5153",12,1989,"STINSON","108"
"5154",1,1989,"STINSON","L"
"5155",1,1989,"STINSON","V77"
"5156",1,1989,"STITS","SA"
"5157",1,1989,"STITS-ITRICH","SA6B"
"5158",1,1989,"STITTS","SA7D"
"5159",1,1989,"STOLP-ADAMS","SA100"
"5160",1,1989,"STOLPSTARDUSTER","SA300"
"5161",1,1989,"SWANSON","RV"
"5162",2,1989,"SWEARINGEN","SA"
"5163",2,1989,"SWEARINGEN","SA226TC"
"5164",1,1989,"SWEARINGEN","SX"
"5165",1,1989,"SWIFT","GC"
"5166",4,1989,"TAYLORCRAFT","BC"
"5167",3,1989,"TAYLORCRAFT","BC12"
"5168",1,1989,"TAYLORCRAFT","BC12D"
"5169",1,1989,"TAYLORCRAFT","DCO"
"5170",1,1989,"TAYLORCRAFT","L"
"5171",1,1989,"TEMCO","GC"
"5172",1,1989,"TESMERGLASSAIR","SH"
"5173",1,1989,"THIESSEN","RV"
"5174",1,1989,"TIERRAII","PANTHER"
"5175",1,1989,"TRAVELAIR","4000"
"5176",1,1989,"TRAVELAIR","B"
"5177",1,1989,"TUNDERMANNVENNE","Q"
"5178",1,1989,"UHLEY-MASON","R.A.F."
"5179",2,1989,"UNIVERSALSTINSON","108"
"5180",1,1989,"VAN'S/FISH","RV"
"5181",1,1989,"VEHAFRIC","JUNGSTER"
"5182",1,1989,"VESTAL","QUICKIE"
"5183",1,1989,"VULTEE","BT"
"5184",1,1989,"WACO","HRE"
"5185",1,1989,"WACO","QCF"
"5186",4,1989,"WACO","UPF"
"5187",1,1989,"WACO","UPF7"
"5188",2,1989,"WACO","YMF"
"5189",1,1989,"WARREN/KELEHER/LARK","JK"
"5190",1,1989,"WARREPLICAS","P"
"5191",1,1989,"WARWICK","THORP"
"5192",1,1989,"WEATHERLY","201"
"5193",1,1989,"WEATHERLY","201B"
"5194",1,1989,"WEATHERLY","620TP"
"5195",1,1989,"WELLS","VARIEZE"
"5196",1,1989,"WESLEY","STRIPLIN"
"5197",1,1989,"WHEELERACFT.CO.","EXPRESS"
"5198",1,1989,"WHITTAKER","BUSHBY"
"5199",1,1989,"WITTMAN,S.J.","W"
"5200",1,1989,"WITTMANTAILWIND","W"
"5201",1,1989,"WOOD-OLDFIELD","BABY"
"5202",1,1989,"WOODS","FORMULA"
"5203",1,1989,"WSKPZLMIELEC","PZL"
"5204",1,1989,"WYCHEN","CHALLENGER"
"5205",1,1989,"YAKOVLEV","YAK"
"5206",1,1989,"ZENAIR","CH"
"5207",1,1989,"ZENGEL","RV"
"5208",1,1989,"ZIMMERMAN","MONI"
"5209",1,1990,"67FLYINGDUTCHMAN","D1/LFD"
"5210",1,1990,"ADAMS","BOREDOM"
"5211",2,1990,"AEROCOMMANDER","100"
"5212",1,1990,"AEROCOMMANDER","680E"
"5213",1,1990,"AEROCOMMANDER","680V"
"5214",2,1990,"AEROCOMMANDER","690A"
"5215",1,1990,"AEROCOMMANDER","CALAIR"
"5216",1,1990,"AEROCOMMANDER","CALLAIR"
"5217",1,1990,"AEROCOMMANDER","S"
"5218",1,1990,"AEROCOMMANDER","S2R"
"5219",1,1990,"AEROFABINC.","LAKE"
"5220",1,1990,"AERONCA","11AC"
"5221",1,1990,"AERONCA","11CC"
"5222",7,1990,"AERONCA","7AC"
"5223",1,1990,"AERONCA","7BCM"
"5224",1,1990,"AERONCA","7DC"
"5225",1,1990,"AERONCA","CHAMPION"
"5226",1,1990,"AERONCA","L"
"5227",1,1990,"AERONCA","L3B"
"5228",1,1990,"AEROSPATIALE/SOCATA","TB"
"5229",1,1990,"AEROTEK","PITTS"
"5230",1,1990,"AIRBUSINDUSTRIE","A"
"5231",1,1990,"AIRCOUPE","F"
"5232",1,1990,"AIRTRACTOR","301A"
"5233",11,1990,"AIRTRACTOR","AT"
"5234",2,1990,"AIRTRACTOR","AT401"
"5235",1,1990,"ALFREDSTEVENS","KEN"
"5236",1,1990,"ALON","A"
"5237",4,1990,"AMERICAN","AA"
"5238",1,1990,"ARTICAIRCRAFTCORP.","INTERSTATE"
"5239",1,1990,"ARTICAIRCRAFTCORP.","S1B2"
"5240",1,1990,"ASTA","N22S"
"5241",1,1990,"AVIONSMUDRY","CAP10B"
"5242",1,1990,"AYRES","BULL"
"5243",1,1990,"AYRES","S"
"5244",3,1990,"AYRES","S2R"
"5245",1,1990,"AYRES","S2RT"
"5246",1,1990,"BATALLER","KITFOX"
"5247",1,1990,"BD4-FRANCISCO","BD"
"5248",1,1990,"BEECH","100"
"5249",2,1990,"BEECH","23"
"5250",1,1990,"BEECH","23C"
"5251",3,1990,"BEECH","35"
"5252",3,1990,"BEECH","36"
"5253",1,1990,"BEECH","3NM"
"5254",1,1990,"BEECH","400"
"5255",6,1990,"BEECH","58"
"5256",2,1990,"BEECH","58P"
"5257",1,1990,"BEECH","65"
"5258",2,1990,"BEECH","76"
"5259",3,1990,"BEECH","77"
"5260",6,1990,"BEECH","95"
"5261",4,1990,"BEECH","A"
"5262",1,1990,"BEECH","A100"
"5263",4,1990,"BEECH","A23"
"5264",3,1990,"BEECH","A23A"
"5265",1,1990,"BEECH","A24R"
"5266",1,1990,"BEECH","A35"
"5267",7,1990,"BEECH","A36"
"5268",1,1990,"BEECH","A36TC"
"5269",7,1990,"BEECH","B"
"5270",1,1990,"BEECH","B19"
"5271",1,1990,"BEECH","B23"
"5272",3,1990,"BEECH","B35"
"5273",3,1990,"BEECH","B36TC"
"5274",1,1990,"BEECH","B55"
"5275",1,1990,"BEECH","B55B"
"5276",1,1990,"BEECH","B95"
"5277",1,1990,"BEECH","BARON"
"5278",9,1990,"BEECH","BE"
"5279",1,1990,"BEECH","BE19"
"5280",4,1990,"BEECH","C"
"5281",1,1990,"BEECH","C23"
"5282",2,1990,"BEECH","C24R"
"5283",2,1990,"BEECH","C35"
"5284",1,1990,"BEECH","C55"
"5285",1,1990,"BEECH","C99"
"5286",1,1990,"BEECH","D"
"5287",2,1990,"BEECH","D17S"
"5288",1,1990,"BEECH","D35"
"5289",1,1990,"BEECH","D50C"
"5290",1,1990,"BEECH","D95A"
"5291",3,1990,"BEECH","E"
"5292",1,1990,"BEECH","E185"
"5293",1,1990,"BEECH","E18F"
"5294",2,1990,"BEECH","E18S"
"5295",3,1990,"BEECH","F"
"5296",5,1990,"BEECH","F33A"
"5297",2,1990,"BEECH","H"
"5298",2,1990,"BEECH","H35"
"5299",1,1990,"BEECH","J"
"5300",1,1990,"BEECH","J35"
"5301",1,1990,"BEECH","K"
"5302",1,1990,"BEECH","M35"
"5303",1,1990,"BEECH","N35"
"5304",1,1990,"BEECH","P"
"5305",2,1990,"BEECH","P35"
"5306",1,1990,"BEECH","S"
"5307",3,1990,"BEECH","S35"
"5308",1,1990,"BEECH","T"
"5309",1,1990,"BEECH","V35"
"5310",4,1990,"BEECH","V35B"
"5311",2,1990,"BELLANCA","14"
"5312",5,1990,"BELLANCA","17"
"5313",1,1990,"BELLANCA","7ACA"
"5314",1,1990,"BELLANCA","7ECA"
"5315",3,1990,"BELLANCA","7GCAA"
"5316",4,1990,"BELLANCA","7GCBC"
"5317",1,1990,"BELLANCA","7KCAB"
"5318",2,1990,"BELLANCA","8GCBC"
"5319",7,1990,"BELLANCA","8KCAB"
"5320",1,1990,"BELLANCA","BL"
"5321",1,1990,"BELLANCA","BL26"
"5322",1,1990,"BENNERT","SIDEWINDER"
"5323",1,1990,"BENNETT","KR"
"5324",1,1990,"BIAGI,ARTHURR.","BUCCANEER"
"5325",1,1990,"BLAINELAUX","PITTS"
"5326",1,1990,"BLAISE","MIDGET"
"5327",2,1990,"BOEING","707"
"5328",7,1990,"BOEING","727"
"5329",3,1990,"BOEING","737"
"5330",2,1990,"BOEING","747"
"5331",1,1990,"BOEING","757"
"5332",1,1990,"BOEING","A75"
"5333",1,1990,"BOEING","A75L3"
"5334",7,1990,"BOEING","A75N1"
"5335",2,1990,"BOEING","B"
"5336",3,1990,"BOEING","B75N1"
"5337",2,1990,"BOEING","E75"
"5338",1,1990,"BOSON","STARDUSTER"
"5339",1,1990,"BREEZY","MRU"
"5340",1,1990,"BRITISHAEROSPACE","BAE"
"5341",1,1990,"BRITTEN-NORMAN","BN"
"5342",1,1990,"BRITTEN-NORMAN","BN2A"
"5343",1,1990,"BROSE","CIRRUS"
"5344",1,1990,"BRYANTROWLAND","T"
"5345",1,1990,"BUCHANAN","S1"
"5346",1,1990,"BURKHARTGROB","109A"
"5347",1,1990,"BURNETT","STARDUSTER"
"5348",1,1990,"BURTON","CAVALIER"
"5349",1,1990,"BUTLER","AEROSTAR"
"5350",2,1990,"CALLAIR","A"
"5351",1,1990,"CANADAIR","CT"
"5352",1,1990,"CARLSONAIRCRAFT","COMMANDER"
"5353",1,1990,"CASA","C"
"5354",1,1990,"CASSUIT","11M"
"5355",1,1990,"CECIL,RICHARDC.","STARDUSTER"
"5356",3,1990,"CESSNA","120"
"5357",13,1990,"CESSNA","140"
"5358",51,1990,"CESSNA","150"
"5359",1,1990,"CESSNA","150B"
"5360",1,1990,"CESSNA","150C"
"5361",1,1990,"CESSNA","150D"
"5362",2,1990,"CESSNA","150E"
"5363",12,1990,"CESSNA","150F"
"5364",9,1990,"CESSNA","150G"
"5365",12,1990,"CESSNA","150H"
"5366",15,1990,"CESSNA","150J"
"5367",2,1990,"CESSNA","150K"
"5368",23,1990,"CESSNA","150L"
"5369",22,1990,"CESSNA","150M"
"5370",112,1990,"CESSNA","152"
"5371",1,1990,"CESSNA","152II"
"5372",7,1990,"CESSNA","170"
"5373",8,1990,"CESSNA","170A"
"5374",11,1990,"CESSNA","170B"
"5375",46,1990,"CESSNA","172"
"5376",7,1990,"CESSNA","172A"
"5377",2,1990,"CESSNA","172B"
"5378",1,1990,"CESSNA","172C"
"5379",2,1990,"CESSNA","172D"
"5380",4,1990,"CESSNA","172E"
"5381",2,1990,"CESSNA","172F"
"5382",7,1990,"CESSNA","172G"
"5383",5,1990,"CESSNA","172H"
"5384",1,1990,"CESSNA","172I"
"5385",3,1990,"CESSNA","172K"
"5386",6,1990,"CESSNA","172L"
"5387",30,1990,"CESSNA","172M"
"5388",36,1990,"CESSNA","172N"
"5389",23,1990,"CESSNA","172P"
"5390",9,1990,"CESSNA","172RG"
"5391",3,1990,"CESSNA","172XP"
"5392",3,1990,"CESSNA","175"
"5393",13,1990,"CESSNA","177"
"5394",4,1990,"CESSNA","177A"
"5395",9,1990,"CESSNA","177B"
"5396",3,1990,"CESSNA","177RG"
"5397",27,1990,"CESSNA","180"
"5398",1,1990,"CESSNA","180A"
"5399",3,1990,"CESSNA","180B"
"5400",2,1990,"CESSNA","180C"
"5401",1,1990,"CESSNA","180E"
"5402",2,1990,"CESSNA","180H"
"5403",2,1990,"CESSNA","180J"
"5404",2,1990,"CESSNA","180K"
"5405",21,1990,"CESSNA","182"
"5406",6,1990,"CESSNA","182A"
"5407",1,1990,"CESSNA","182B"
"5408",3,1990,"CESSNA","182C"
"5409",2,1990,"CESSNA","182D"
"5410",4,1990,"CESSNA","182E"
"5411",1,1990,"CESSNA","182F"
"5412",2,1990,"CESSNA","182G"
"5413",3,1990,"CESSNA","182H"
"5414",2,1990,"CESSNA","182J"
"5415",1,1990,"CESSNA","182K"
"5416",3,1990,"CESSNA","182L"
"5417",3,1990,"CESSNA","182M"
"5418",7,1990,"CESSNA","182N"
"5419",10,1990,"CESSNA","182P"
"5420",5,1990,"CESSNA","182Q"
"5421",1,1990,"CESSNA","182R"
"5422",5,1990,"CESSNA","182RG"
"5423",14,1990,"CESSNA","185"
"5424",1,1990,"CESSNA","185A"
"5425",2,1990,"CESSNA","185B"
"5426",1,1990,"CESSNA","185E"
"5427",1,1990,"CESSNA","185F"
"5428",6,1990,"CESSNA","188"
"5429",3,1990,"CESSNA","188A"
"5430",3,1990,"CESSNA","188B"
"5431",4,1990,"CESSNA","195"
"5432",3,1990,"CESSNA","205"
"5433",1,1990,"CESSNA","205A"
"5434",4,1990,"CESSNA","206"
"5435",2,1990,"CESSNA","206G"
"5436",1,1990,"CESSNA","206U"
"5437",5,1990,"CESSNA","207"
"5438",2,1990,"CESSNA","207A"
"5439",1,1990,"CESSNA","208"
"5440",4,1990,"CESSNA","208A"
"5441",3,1990,"CESSNA","208B"
"5442",8,1990,"CESSNA","210"
"5443",1,1990,"CESSNA","210A"
"5444",1,1990,"CESSNA","210E"
"5445",1,1990,"CESSNA","210G"
"5446",3,1990,"CESSNA","210L"
"5447",2,1990,"CESSNA","210M"
"5448",1,1990,"CESSNA","210N"
"5449",4,1990,"CESSNA","305A"
"5450",5,1990,"CESSNA","310"
"5451",2,1990,"CESSNA","310B"
"5452",2,1990,"CESSNA","310G"
"5453",1,1990,"CESSNA","310J"
"5454",2,1990,"CESSNA","310Q"
"5455",4,1990,"CESSNA","310R"
"5456",1,1990,"CESSNA","320"
"5457",3,1990,"CESSNA","337"
"5458",2,1990,"CESSNA","337G"
"5459",3,1990,"CESSNA","340"
"5460",3,1990,"CESSNA","340A"
"5461",2,1990,"CESSNA","401"
"5462",1,1990,"CESSNA","401B"
"5463",1,1990,"CESSNA","402"
"5464",1,1990,"CESSNA","402A"
"5465",6,1990,"CESSNA","402B"
"5466",4,1990,"CESSNA","404"
"5467",1,1990,"CESSNA","411"
"5468",2,1990,"CESSNA","414"
"5469",2,1990,"CESSNA","414A"
"5470",2,1990,"CESSNA","421"
"5471",5,1990,"CESSNA","421B"
"5472",1,1990,"CESSNA","421C"
"5473",1,1990,"CESSNA","425"
"5474",1,1990,"CESSNA","500"
"5475",1,1990,"CESSNA","550"
"5476",1,1990,"CESSNA","A"
"5477",1,1990,"CESSNA","A150"
"5478",1,1990,"CESSNA","A150K"
"5479",1,1990,"CESSNA","A150L"
"5480",3,1990,"CESSNA","A150M"
"5481",2,1990,"CESSNA","A152"
"5482",1,1990,"CESSNA","A185E"
"5483",6,1990,"CESSNA","A185F"
"5484",6,1990,"CESSNA","A188B"
"5485",9,1990,"CESSNA","C"
"5486",1,1990,"CESSNA","C150"
"5487",2,1990,"CESSNA","C152"
"5488",1,1990,"CESSNA","C172"
"5489",2,1990,"CESSNA","C172N"
"5490",1,1990,"CESSNA","C177B"
"5491",1,1990,"CESSNA","C182A"
"5492",1,1990,"CESSNA","C205"
"5493",1,1990,"CESSNA","C337"
"5494",1,1990,"CESSNA","CE"
"5495",1,1990,"CESSNA","O337F"
"5496",1,1990,"CESSNA","P206"
"5497",1,1990,"CESSNA","P206A"
"5498",1,1990,"CESSNA","P206C"
"5499",4,1990,"CESSNA","P210N"
"5500",1,1990,"CESSNA","P210R"
"5501",1,1990,"CESSNA","R172K"
"5502",1,1990,"CESSNA","R182"
"5503",7,1990,"CESSNA","T"
"5504",1,1990,"CESSNA","T188"
"5505",2,1990,"CESSNA","T188C"
"5506",2,1990,"CESSNA","T207"
"5507",1,1990,"CESSNA","T207A"
"5508",2,1990,"CESSNA","T210"
"5509",1,1990,"CESSNA","T210J"
"5510",2,1990,"CESSNA","T210K"
"5511",8,1990,"CESSNA","T210L"
"5512",6,1990,"CESSNA","T210M"
"5513",9,1990,"CESSNA","T210N"
"5514",1,1990,"CESSNA","T303"
"5515",1,1990,"CESSNA","T303A"
"5516",1,1990,"CESSNA","T310R"
"5517",1,1990,"CESSNA","T50"
"5518",2,1990,"CESSNA","TR182"
"5519",4,1990,"CESSNA","TU206G"
"5520",1,1990,"CESSNA","U"
"5521",4,1990,"CESSNA","U206"
"5522",1,1990,"CESSNA","U206A"
"5523",2,1990,"CESSNA","U206F"
"5524",4,1990,"CHAMPION","7EC"
"5525",2,1990,"CHAMPION","7ECA"
"5526",2,1990,"CHAMPION","7GCAA"
"5527",3,1990,"CHAMPION","7KCAB"
"5528",2,1990,"CHAMPION","AERONCA"
"5529",1,1990,"CHARLEST.BRIETIGAM","RV"
"5530",1,1990,"CHILDS","360"
"5531",1,1990,"CHRISTEN/WALTER","CHRISTEN"
"5532",2,1990,"CHRISTENINDUSTRIES","A"
"5533",1,1990,"CHRISTENINDUSTRIES","EAGLE"
"5534",1,1990,"CHRISTENINDUSTRIES","PITTS"
"5535",1,1990,"CIRRUSKLAPPMEIER","CIRRUS"
"5536",1,1990,"CLASSICAIRCRAFTCORP.","WACO"
"5537",1,1990,"COMBEN","BOWERS"
"5538",1,1990,"CONN","ONE"
"5539",1,1990,"CONSOLIDATEDAERONAUTICSINC.","LA"
"5540",1,1990,"CONVAIR","L"
"5541",1,1990,"CORBEN","BABY"
"5542",1,1990,"CRAIGA.GORDON","TEENIE"
"5543",1,1990,"CULLEN/ROTH","FALCON"
"5544",1,1990,"CUNNINGHAM","PRESCOTT"
"5545",1,1990,"CUSTOMAEROTECH,INC.","WHITE"
"5546",1,1990,"DANIELS","BD"
"5547",1,1990,"DANIELS.TAYLOR","SONERAI"
"5548",1,1990,"DANT.ZELAZO","AVID/SPEEDWING"
"5549",1,1990,"DASSAULT-BREGUET","FALCON"
"5550",1,1990,"DAVIDB.ROBERTSON","VARI"
"5551",1,1990,"DAVIDSON","THROP"
"5552",1,1990,"DEANBARTEL","AVID"
"5553",6,1990,"DEHAVILLAND","DH"
"5554",10,1990,"DEHAVILLAND","DHC"
"5555",1,1990,"DEHAVILLAND","DHC2"
"5556",1,1990,"DEHAVILLAND","VENOM"
"5557",1,1990,"DICKEY","E"
"5558",1,1990,"DONG.KAYE","RV"
"5559",1,1990,"DOOLEY","MUSTANG"
"5560",1,1990,"DOUGLAS","C"
"5561",3,1990,"DOUGLAS","DC"
"5562",1,1990,"E.J.NOVOTNY","STEEN"
"5563",1,1990,"EAGLEAIRCRAFTCO.","DW"
"5564",1,1990,"EIPPER","QUICK"
"5565",1,1990,"ELY","THORP"
"5566",2,1990,"EMBRAER","EMB"
"5567",3,1990,"ERCO","415"
"5568",1,1990,"ERCO","415C"
"5569",1,1990,"ERCO","415G"
"5570",3,1990,"ERCOUPE(ENG&RESEARCHCORP.)","415"
"5571",2,1990,"ERCOUPE(ENG&RESEARCHCORP.)","415C"
"5572",1,1990,"ERCOUPE(ENG&RESEARCHCORP.)","415CD"
"5573",2,1990,"ERCOUPE(ENG&RESEARCHCORP.)","ERCOUPE"
"5574",1,1990,"ERIKK.VANDERKAAY","MARCO"
"5575",1,1990,"ETNPLTSSTARDUSTER","STARDUSTER"
"5576",1,1990,"EUGENEM.VERAS","POLLIWAGON"
"5577",1,1990,"EUGENEN.RAUSCH","RV"
"5578",2,1990,"FAIRCHILD","SA227"
"5579",1,1990,"FAIRCHILD","SA227AC"
"5580",1,1990,"FINNA.ARNOLD","GLASSAIRE/SH"
"5581",1,1990,"FISHERFLYINGPRODUCTS","CLASSIC"
"5582",1,1990,"FOGARTYPITTS","S1SEW"
"5583",1,1990,"FOKKER","FK"
"5584",1,1990,"FOLLAND","GNAT"
"5585",1,1990,"FORBING","LONGEZE"
"5586",1,1990,"FORNEY","415"
"5587",1,1990,"FORNEY","415D"
"5588",1,1990,"FOUGA","FOUGA"
"5589",1,1990,"FREEMANHEASTON","FALCON"
"5590",1,1990,"FUNK,D.D.AVIATIONCO.","B"
"5591",1,1990,"GARDNER","PITTS"
"5592",1,1990,"GARYWILLIAMS","AVID"
"5593",1,1990,"GATESLEARJET","25B"
"5594",1,1990,"GATESLEARJET","35"
"5595",1,1990,"GEORGER.LOSEY","J6"
"5596",1,1990,"GLOBE","GC"
"5597",1,1990,"GLOBE","SWIFT"
"5598",1,1990,"GOSS","KR"
"5599",1,1990,"GOVERNMENTAIRCRAFTFACT(GAF)","N24A"
"5600",1,1990,"GRACE","LONG"
"5601",1,1990,"GROVES","COUGAR"
"5602",2,1990,"GRUMMAN","164"
"5603",1,1990,"GRUMMAN","164A"
"5604",7,1990,"GRUMMAN","AA"
"5605",1,1990,"GRUMMAN","AA1"
"5606",1,1990,"GRUMMAN","AA1B"
"5607",4,1990,"GRUMMAN","AA5B"
"5608",1,1990,"GRUMMAN","AG"
"5609",1,1990,"GRUMMAN","F"
"5610",33,1990,"GRUMMAN","G"
"5611",1,1990,"GRUMMAN","G1159"
"5612",1,1990,"GRUMMAN","G164"
"5613",1,1990,"GRUMMAN","G164A"
"5614",1,1990,"GRUMMAN","G21"
"5615",1,1990,"GRUMMAN","G21A"
"5616",2,1990,"GRUMMAN-SCHWEIZER","G"
"5617",4,1990,"GRUMMANAMERICAN","AA"
"5618",1,1990,"GRUMMANAMERICAN","AA5"
"5619",1,1990,"GULFSTREAM","AA"
"5620",1,1990,"GULFSTREAM","G"
"5621",1,1990,"GULFSTREAM-SCHWEIZER","G"
"5622",1,1990,"GULFSTREAMAEROSPACE","690C"
"5623",1,1990,"GULFSTREAMAMERICAN","690B"
"5624",1,1990,"GULFSTREAMAMERICAN","AA"
"5625",1,1990,"GYROFLUG","SC01B160"
"5626",1,1990,"HARDESTY/HAYS","QUICKIE"
"5627",1,1990,"HARDY","RV"
"5628",1,1990,"HARPER","VOLKSPLANE"
"5629",1,1990,"HAWKERSIDDELEY","HS.125"
"5630",1,1990,"HEINDENREICH","FOKKER"
"5631",1,1990,"HEINRICHS","RAND"
"5632",1,1990,"HELIO","COURIER"
"5633",3,1990,"HELIO","H"
"5634",1,1990,"HELIO","HE"
"5635",1,1990,"HELIO","HST"
"5636",1,1990,"HILVETY","CWII"
"5637",1,1990,"HISPANOAVIACION","HA"
"5638",1,1990,"HISTORICALAIRCRAFTCORP.","A"
"5639",1,1990,"HOMEBUILT","JP"
"5640",1,1990,"HOMEBUILT","MIDGET"
"5641",1,1990,"HOOD","QUICKIE"
"5642",1,1990,"ILLI","THUNDER"
"5643",1,1990,"INTERSTATE","S1B1"
"5644",1,1990,"JAMESANELSON","ZEN"
"5645",1,1990,"JAMESCOTE","KOLB"
"5646",1,1990,"JEFFPIERSON","PIERSON"
"5647",1,1990,"JOEL.HARR","SE"
"5648",1,1990,"JOHNSON","QUICKIE"
"5649",1,1990,"JOLLY","BAKENG"
"5650",1,1990,"JOSEPHW.HILLBRAND","SONERAI"
"5651",1,1990,"K.W.JEFFERS","VARIEZE"
"5652",1,1990,"KOLBCOMPANY","TWIN"
"5653",1,1990,"KOLBCOMPANY","TWINSTAR"
"5654",6,1990,"LAKE","LA"
"5655",1,1990,"LARSENCHARLESBENNETT","PHOENIX"
"5656",1,1990,"LEARJET","23"
"5657",1,1990,"LEARJET","24"
"5658",1,1990,"LEARJET","25D"
"5659",1,1990,"LEARJET","LR"
"5660",1,1990,"LERSTANG","LONG"
