"","ev_id","ev_year","ev_month","prim_rsn","sec_rsn","sub1_rsn","sub2_rsn","sub3_rsn"
"9526","20101026X33940",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","(general)","Not attained/maintained "
"9527","20101026X33940",2010,10,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9528","20101026X35112",2010,10,"Personnel issues","Task performance","Use of equip/info","Use of policy/procedure","ATC personnel "
"9529","20101026X35112",2010,10,"Aircraft","Aircraft structures","Wing structure","Main frame (on wing)","Failure "
"9530","20101026X35112",2010,10,"Personnel issues","Action/decision","Action","Incorrect action performance","Pilot "
"9531","20101026X35112",2010,10,"Environmental issues","Conditions/weather/phenomena","Convective weather","Thunderstorm","Decision related to condition "
"9532","20101026X44534",2010,10,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9533","20101026X44534",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","(general)","Not attained/maintained "
"9534","20101027X04916",2010,10,"Organizational issues","Development","Manufacture/production","Equipment manufacture","Manufacturer "
"9535","20101027X04916",2010,10,"Aircraft","Aircraft structures","Fuselage","Plates/skins (aux fuselage)","Fatigue/wear/corrosion "
"9536","20101027X23308",2010,10,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9537","20101027X23308",2010,10,"Personnel issues","Task performance","Planning/preparation","Fuel planning","Pilot "
"9538","20101027X85534",2010,10,"Personnel issues","Action/decision","Action","Unneccessary action","Pilot "
"9539","20101027X85534",2010,10,"Not determined","Not determined","(general)","(general)","Unknown/Not determined "
"9540","20101028X12506",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","(general)","Not attained/maintained "
"9541","20101028X12506",2010,10,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9542","20101028X12506",2010,10,"Personnel issues","Task performance","Planning/preparation","Weather planning","Pilot "
"9543","20101028X12506",2010,10,"Personnel issues","Psychological","Perception/orientation/illusio","Spatial disorientation","Pilot "
"9544","20101028X12506",2010,10,"Environmental issues","Conditions/weather/phenomena","Ceiling/visibility/precip","(general)","Effect on operation "
"9545","20101028X12506",2010,10,"Personnel issues","Task performance","Use of equip/info","Use of equip/system","Pilot "
"9546","20101028X53602",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9547","20101028X53602",2010,10,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Student pilot "
"9548","20101029X05315",2010,9,"Personnel issues","Action/decision","Action","Incorrect action performance","Pilot "
"9549","20101029X05315",2010,9,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Landing flare","Incorrect use/operation "
"9550","20101029X33606",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9551","20101029X33606",2010,10,"Aircraft","Aircraft systems","Landing gear system","Brake","Unneccessary use/operation "
"9552","20101029X33606",2010,10,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9553","20101029X90146",2010,10,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9554","20101029X90146",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Descent/approach/glide path","Not attained/maintained "
"9555","20101030X52655",2010,10,"Aircraft","Aircraft power plant","Engine (turbine/turboprop)","(general)","Failure "
"9556","20101031X20910",2010,10,"Personnel issues","Psychological","Attention/monitoring","Monitoring other aircraft","Pilot "
"9557","20101031X20910",2010,10,"Personnel issues","Psychological","Attention/monitoring","Monitoring other aircraft","Pilot of other aircraft "
"9558","20101031X20910",2010,10,"Personnel issues","Psychological","Attention/monitoring","Monitoring other aircraft","Pilot of other aircraft "
"9559","20101031X20910",2010,10,"Personnel issues","Psychological","Attention/monitoring","Monitoring other aircraft","Pilot "
"9560","20101031X30917",2010,10,"Environmental issues","Operating environment","Airport facilities/design","Ground support/equipment","Not specified "
"9561","20101031X30917",2010,10,"Personnel issues","Action/decision","Action","Incorrect action performance","Ground crew "
"9562","20101101X15358",2010,10,"Not determined","Not determined","(general)","(general)","Unknown/Not determined "
"9563","20101101X22429",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9564","20101101X22429",2010,10,"Personnel issues","Physical","Impairment/incapacitation","Alcohol","Pilot "
"9565","20101101X52514",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Descent/approach/glide path","Not attained/maintained "
"9566","20101101X52514",2010,10,"Aircraft","Aircraft power plant","Engine (reciprocating)","Recip eng oil sys","Malfunction "
"9567","20101101X52514",2010,10,"Environmental issues","Conditions/weather/phenomena","Ceiling/visibility/precip","Obscuration","Contributed to outcome "
"9568","20101101X52514",2010,10,"Personnel issues","Action/decision","Action","Lack of action","Pilot "
"9569","20101102X00632",2010,10,"Aircraft","Aircraft power plant","Ignition system","Ignition system wiring","Failure "
"9570","20101102X01100",2010,11,"Environmental issues","Physical environment","Runway/land/takeoff/taxi surfa","Soft","Contributed to outcome "
"9571","20101102X01100",2010,11,"Environmental issues","Physical environment","Terrain","Mountainous/hilly terrain","Response/compensation "
