"","ev_id","ev_year","ev_month","ev_country","ev_state","ev_state_code","ev_city","latitude","longitude"
"58","20010509X00911",2001,4,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"59","20110201X24226",2011,1,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"60","20070510X00547",2007,4,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"61","20130724X20326",2013,7,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"62","20080505X00590",2008,4,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"63","20080611X00837",2008,5,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"64","20121001X34716",2012,9,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"65","20031001X01648",2003,9,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"66","20030806X01275",2003,8,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"67","20041020X01665",2004,10,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"68","20090608X44501",2009,6,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"69","20050902X01379",2005,8,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"70","20030716X01114",2003,7,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"71","20140902X30554",2014,8,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"72","20071109X01776",2007,10,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"73","20090720X80624",2009,7,"USA","ALASKA                        ","AK","Anchorage",61.19026,-149.89341
"74","20050505X00558",2005,4,"USA","ALASKA                        ","AK","Anchorage",61.19026,-149.89341
"75","20050519X00637",2005,4,"USA","ALASKA                        ","AK","Anchorage",61.19026,-149.89341
"76","20170412X72340",2017,4,"USA","ALASKA                        ","AK","Anchorage",61.19026,-149.89341
"77","20160818X34337",2016,8,"USA","ALASKA                        ","AK","Fort Richardson",61.261518,-149.66336
"78","20160822X91159",2016,8,"USA","ALASKA                        ","AK","Elmendorf AFB",61.224384,-149.77461
"79","20060918X01359",2006,7,"USA","ALASKA                        ","AK","Anchorage",61.154834,-149.82865
"80","20160912X71238",2016,9,"USA","ALASKA                        ","AK","Anchorage",61.154834,-149.82865
"81","20101019X43910",2010,10,"USA","ALASKA                        ","AK","Anchorage",61.203953,-149.8144
"82","20100602X45201",2010,6,"USA","ALASKA                        ","AK","Anchorage",61.203953,-149.8144
"83","20160301X54319",2016,2,"USA","ALASKA                        ","AK","Anchorage",61.203953,-149.8144
"84","20130828X35629",2013,8,"USA","ALASKA                        ","AK","Anchorage",61.203953,-149.8144
"85","20130825X15006",2013,8,"USA","ALASKA                        ","AK","Anchorage",61.203953,-149.8144
"86","20150706X51606",2015,7,"USA","ALASKA                        ","AK","Anchorage",61.203953,-149.8144
"87","20050623X00849",2005,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"88","20120202X55741",2012,2,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"89","20081023X91141",2008,10,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"90","20050721X01071",2005,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"91","20120813X13503",2012,8,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"92","20110905X05230",2011,9,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"93","20080812X01227",2008,7,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"94","20070709X00892",2007,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"95","20090415X54626",2009,4,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"96","20050623X00850",2005,5,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"97","20081008X80956",2008,10,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"98","20050519X00636",2005,4,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"99","20051012X01626",2005,8,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"100","20080625X00908",2008,4,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"101","20050902X01377",2005,8,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"102","20040528X00688",2004,5,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"103","20030611X00855",2003,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"104","20040624X00863",2004,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"105","20080625X00911",2008,5,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"106","20090918X15513",2009,9,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"107","20030805X01271",2003,7,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"108","20110711X31810",2011,7,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"109","20090611X51258",2009,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"110","20050718X01049",2005,7,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"111","20070105X00013",2006,12,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"112","20060928X01420",2006,7,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"113","20120430X35846",2012,4,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"114","20090716X82106",2009,7,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"115","20050208X00154",2004,9,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"116","20060810X01144",2006,7,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"117","20070711X00902",2007,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"118","20101104X75554",2010,9,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"119","20100318X45409",2010,3,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"120","20061128X01715",2006,10,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"121","20061024X01553",2006,9,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"122","20160104X11027",2015,12,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"123","20051215X01974",2005,11,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"124","20041209X01962",2004,10,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"125","20080625X00913",2008,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"126","20020612X00854",2002,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"127","20060817X01188",2006,6,"USA","ALASKA                        ","AK","Anchorage",61.214877,-149.88617
"128","20110609X45115",2011,6,"USA","ALASKA                        ","AK","Anchorage",61.122943,-149.88852
"129","20150514X71721",2015,5,"USA","ALASKA                        ","AK","Anchorage",61.122943,-149.88852
"130","20140526X72452",2014,5,"USA","ALASKA                        ","AK","Anchorage",61.122943,-149.88852
"131","20030618X00903",2003,6,"USA","ALASKA                        ","AK","Anchorage",61.122943,-149.88852
"132","20010816X01711",2001,8,"USA","ALASKA                        ","AK","Anchorage",61.122943,-149.88852
"133","20021010X05308",2002,8,"USA","ALASKA                        ","AK","Anchorage",61.122943,-149.88852
"134","20050519X00638",2005,4,"USA","ALASKA                        ","AK","Anchorage",61.122943,-149.88852
"135","20010824X01780",2001,8,"USA","ALASKA                        ","AK","Anchorage",61.122943,-149.88852
"136","20110519X72951",2011,5,"USA","ALASKA                        ","AK","Anchorage",61.101142,-149.77311
"137","20160928X65756",2016,9,"USA","ALASKA                        ","AK","Anchorage",61.188276,-149.93438
"138","20160525X25941",2016,5,"USA","ALASKA                        ","AK","Anchorage",61.188276,-149.93438
"139","20150122X20352",2015,1,"USA","ALASKA                        ","AK","Anchorage",61.188276,-149.93438
"140","20170710X71845",2017,7,"USA","ALASKA                        ","AK","Anchorage",61.188276,-149.93438
"141","20090810X64558",2009,8,"USA","ALASKA                        ","AK","Anchorage",61.188276,-149.93438
"142","20100927X40128",2010,9,"USA","ALASKA                        ","AK","Anchorage",61.188276,-149.93438
"143","20120523X90729",2012,5,"USA","ALASKA                        ","AK","Anchorage",61.108864,-149.440311
"144","20170502X12758",2017,5,"USA","ALASKA                        ","AK","Chignik Lake",56.252156,-158.74638
"145","20040524X00646",2004,5,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"146","20100902X00429",2010,8,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"147","20011022X02128",2001,9,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"148","20061221X01831",2006,12,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"149","20130722X94513",2013,7,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"150","20080501X00580",2008,4,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"151","20021224X05632",2002,12,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"152","20011115X02246",2001,10,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"153","20050923X01520",2005,9,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"154","20080909X01422",2008,7,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"155","20050907X01408",2005,8,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"156","20020922X05191",2002,9,"USA","ALASKA                        ","AK","Port Heiden",56.946256,-158.62832
"157","20121001X80238",2012,9,"USA","ALASKA                        ","AK","Port Lions",57.867089,-152.88568
"158","20060831X01272",2006,5,"USA","ALASKA                        ","AK","Akiachak",60.88981,-161.42393
"159","20090715X44125",2009,7,"USA","ALASKA                        ","AK","Akiachak",60.88981,-161.42393
"160","20050906X01394",2005,7,"USA","ALASKA                        ","AK","Akiachak",60.88981,-161.42393
"161","20010824X01777",2001,8,"USA","ALASKA                        ","AK","Akiachak",60.88981,-161.42393
"162","20121113X22942",2012,11,"USA","ALASKA                        ","AK","Akiachak",60.88981,-161.42393
"163","20030527X00727",2003,5,"USA","ALASKA                        ","AK","Akiak",60.911865,-161.22577
"164","20020904X01512",2002,8,"USA","ALASKA                        ","AK","Akiak",60.911865,-161.22577
"165","20020910X01575",2002,8,"USA","ALASKA                        ","AK","Aleknagik",59.269535,-158.62458
"166","20100810X62027",2010,8,"USA","ALASKA                        ","AK","Aleknagik",59.269535,-158.62458
"167","20050902X01378",2005,8,"USA","ALASKA                        ","AK","Aleknagik",59.269535,-158.62458
"168","20130308X64149",2013,3,"USA","ALASKA                        ","AK","Aleknagik",59.269535,-158.62458
"169","20100827X80349",2010,8,"USA","ALASKA                        ","AK","Aleknagik",59.269535,-158.62458
"170","20121007X33859",2012,10,"USA","ALASKA                        ","AK","Aleknagik",59.269535,-158.62458
"171","20050906X01391",2005,7,"USA","ALASKA                        ","AK","Aleknagik",59.269535,-158.62458
"172","20030711X01069",2003,6,"USA","ALASKA                        ","AK","Anchor Point",59.798363,-151.73566
"173","20060817X01194",2006,7,"USA","ALASKA                        ","AK","Anchor Point",59.798363,-151.73566
"174","20160819X61537",2016,8,"USA","ALASKA                        ","AK","Anchor Point",59.798363,-151.73566
"175","20071012X01576",2007,10,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"176","20061002X01438",2006,8,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"177","20100315X32858",2010,3,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"178","20170821X20801",2017,8,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
